#seq,BW_1,BW_2,BW_3,BW_4,BW_5,BW_6,BW_7,DC_1,DC_2,DC_3,DC_4,DC_5,DC_6,DC_7,DC_8,DC_9,DC_10,QCS_1,QCS_2,QCS_3,QCS_4,QCS_5,QCS_6,QCS_7,QCS_8,TH_1,TH_2,TH_3,TH_4,TH_5,TH_6,TH_7,TH_8,TH_9,TH_10
ASV_225,0,0,0,0,0,0,0,237,321,243,195,177,151,309,148,92,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_226,0,0,0,593,0,0,0,93,291,82,130,174,121,159,78,160,154,0,0,0,0,0,0,0,0,5,0,15,10,11,16,7,10,0,0
ASV_227,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,655,29,0,0,0,0,0,0,0,0,0,0,0
ASV_228,0,0,0,0,0,0,0,164,300,166,255,192,242,295,103,213,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,452,44,88,98,21,49,38,421,443
ASV_230,0,0,0,0,0,0,0,4,34,22,9,5,7,19,14,45,56,0,0,0,0,0,0,0,0,157,55,330,177,333,183,159,196,29,52
ASV_232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,391,54,71,109,82,90,47,362,571
ASV_233,0,0,0,0,0,0,0,123,316,327,157,139,128,377,185,108,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,624,19,49,65,28,52,28,278,473
ASV_236,0,0,0,0,0,0,0,116,452,157,163,187,180,146,180,203,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_237,0,0,0,0,0,0,0,26,46,55,70,31,66,53,25,17,10,0,0,0,0,0,0,0,0,95,0,136,85,189,351,85,68,52,21
ASV_240,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,30,514,38,51,112,33,49,43,305,573
ASV_241,0,0,0,0,0,0,0,136,220,244,253,244,155,313,124,172,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_242,0,486,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,199,225,0,0,0,0,0,0,0,0,0,0,0,0
